nl,t,yv,ya,m,ACT,CAP,inv_cost,sc
R12_CHN,coal_ppl,2040,2060.0,M1,0.0,0.0,585.2141988565324,sv_2c
R12_CHN,coal_ppl,2040,2070.0,M1,0.0,0.0,585.2141988565324,sv_2c
R12_CHN,coal_ppl,2045,2045.0,M1,0.0,0.0,608.9300182286962,sv_2c
R12_CHN,coal_ppl,2045,2050.0,M1,0.0,0.0,608.9300182286962,sv_2c
R12_CHN,coal_ppl,2045,2055.0,M1,0.0,0.0,608.9300182286962,sv_2c
R12_CHN,coal_ppl,2045,2060.0,M1,0.0,0.0,608.9300182286962,sv_2c
R12_CHN,coal_ppl,2045,2070.0,M1,0.0,0.0,608.9300182286962,sv_2c
R12_CHN,coal_ppl,2050,2050.0,M1,0.0,0.0,634.761896649998,sv_2c
R12_CHN,coal_ppl,2050,2055.0,M1,0.0,0.0,634.761896649998,sv_2c
R12_CHN,coal_ppl,2050,2060.0,M1,0.0,0.0,634.761896649998,sv_2c
R12_CHN,coal_ppl,2050,2070.0,M1,0.0,0.0,634.761896649998,sv_2c
R12_CHN,coal_ppl,2050,2080.0,M1,0.0,0.0,634.761896649998,sv_2c
R12_CHN,coal_ppl,2055,2055.0,M1,0.0,0.0,659.6960810514456,sv_2c
R12_CHN,coal_ppl,2055,2060.0,M1,0.0,0.0,659.6960810514456,sv_2c
R12_CHN,coal_ppl,2055,2070.0,M1,0.0,0.0,659.6960810514456,sv_2c
R12_CHN,coal_ppl,2055,2080.0,M1,0.0,0.0,659.6960810514456,sv_2c
R12_CHN,coal_ppl,2060,2060.0,M1,0.0,0.0,688.762303549878,sv_2c
R12_CHN,coal_ppl,2060,2070.0,M1,0.0,0.0,688.762303549878,sv_2c
R12_CHN,coal_ppl,2060,2080.0,M1,0.0,0.0,688.762303549878,sv_2c
R12_CHN,coal_ppl,2060,2090.0,M1,0.0,0.0,688.762303549878,sv_2c
R12_CHN,coal_ppl,2070,2070.0,M1,0.0,0.0,748.4685239191364,sv_2c
R12_CHN,coal_ppl,2070,2080.0,M1,0.0,0.0,748.4685239191364,sv_2c
R12_CHN,coal_ppl,2070,2090.0,M1,0.0,0.0,748.4685239191364,sv_2c
R12_CHN,coal_ppl,2080,2080.0,M1,0.0,0.0,794.4323550071263,sv_2c
R12_CHN,coal_ppl,2080,2090.0,M1,0.0,0.0,794.4323550071263,sv_2c
R12_CHN,coal_ppl,2080,2100.0,M1,0.0,0.0,794.4323550071263,sv_2c
R12_CHN,coal_ppl,2090,2090.0,M1,0.0,0.0,832.5475393517307,sv_2c
R12_CHN,coal_ppl,2090,2100.0,M1,0.0,0.0,832.5475393517307,sv_2c
R12_CHN,coal_ppl,2090,2110.0,M1,0.0,0.0,832.5475393517307,sv_2c
R12_CHN,coal_ppl,2100,2100.0,M1,0.0,0.0,863.6758082885558,sv_2c
R12_CHN,coal_ppl,2100,2110.0,M1,0.0,0.0,863.6758082885558,sv_2c
R12_CHN,coal_ppl,2110,2110.0,M1,0.0,0.0,863.6758082885558,sv_2c
R12_CHN,coal_ppl_u,1960,1960.0,M1,0.0,0.0,338.58,sv_2c
R12_CHN,coal_ppl_u,1960,1965.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1960,1970.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1960,1975.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1960,1980.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1960,1985.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1960,1990.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1960,1995.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1960,2000.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1960,2005.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1960,2010.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1960,2015.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1960,2020.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1960,2025.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1965,1965.0,M1,0.0,0.0,338.58,sv_2c
R12_CHN,coal_ppl_u,1965,1970.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1965,1975.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1965,1980.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1965,1985.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1965,1990.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1965,1995.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1965,2000.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1965,2005.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1965,2010.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1965,2015.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1965,2020.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1965,2025.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1970,1970.0,M1,0.0,0.0,338.58,sv_2c
R12_CHN,coal_ppl_u,1970,1975.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1970,1980.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1970,1985.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1970,1990.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1970,1995.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1970,2000.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1970,2005.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1970,2010.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1970,2015.0,M1,0.0,,338.58,sv_2c
R12_CHN,coal_ppl_u,1970,2020.0,M1,0.0,,338.58,sv_2c
