nl,t,yv,inv_cost,sc
R12_EEU,igcc_ccs,2050,3781.5525051339755,sv_2c_buffer_decoal
R12_EEU,igcc_ccs,2055,3687.118003979879,sv_2c_buffer_decoal
R12_EEU,igcc_ccs,2060,3611.6399392719227,sv_2c_buffer_decoal
R12_EEU,igcc_ccs,2070,3503.4473672872136,sv_2c_buffer_decoal
R12_EEU,igcc_ccs,2080,3434.104994320285,sv_2c_buffer_decoal
R12_EEU,igcc_ccs,2090,3388.957112293965,sv_2c_buffer_decoal
R12_EEU,igcc_ccs,2100,3359.7002824985907,sv_2c_buffer_decoal
R12_EEU,igcc_ccs,2110,3359.7002824985907,sv_2c_buffer_decoal
R12_EEU,coal_ppl_u,1960,959.3,sv_2c_buffer_decoal
R12_EEU,coal_ppl_u,1965,959.3,sv_2c_buffer_decoal
R12_EEU,coal_ppl_u,1970,959.3,sv_2c_buffer_decoal
R12_EEU,coal_ppl_u,1975,959.3,sv_2c_buffer_decoal
R12_EEU,coal_ppl_u,1980,959.3,sv_2c_buffer_decoal
R12_EEU,coal_ppl_u,1985,959.3,sv_2c_buffer_decoal
R12_EEU,coal_ppl_u,1990,959.3,sv_2c_buffer_decoal
R12_EEU,coal_ppl_u,1995,959.3,sv_2c_buffer_decoal
R12_EEU,coal_ppl_u,2000,959.3,sv_2c_buffer_decoal
R12_EEU,coal_ppl_u,2005,959.3,sv_2c_buffer_decoal
R12_EEU,coal_ppl_u,2010,959.3,sv_2c_buffer_decoal
R12_EEU,coal_ppl_u,2015,959.3,sv_2c_buffer_decoal
R12_EEU,coal_ppl_u,2020,959.5555555555555,sv_2c_buffer_decoal
R12_EEU,coal_ppl_u,2025,959.5555555555555,sv_2c_buffer_decoal
R12_EEU,coal_ppl_u,2030,965.3522216103553,sv_2c_buffer_decoal
R12_EEU,coal_ppl_u,2035,970.0345604969444,sv_2c_buffer_decoal
R12_EEU,coal_ppl_u,2040,973.7177292732075,sv_2c_buffer_decoal
R12_EEU,coal_ppl_u,2045,976.1099036209912,sv_2c_buffer_decoal
R12_EEU,coal_ppl_u,2050,977.8548390000929,sv_2c_buffer_decoal
R12_FSU,coal_ppl,1965,1376.57,sv_2c_buffer_decoal
R12_FSU,coal_ppl,1970,1376.57,sv_2c_buffer_decoal
R12_FSU,coal_ppl,1975,1376.57,sv_2c_buffer_decoal
R12_FSU,coal_ppl,1980,1376.57,sv_2c_buffer_decoal
R12_FSU,coal_ppl,1985,1376.57,sv_2c_buffer_decoal
R12_FSU,coal_ppl,1990,1376.57,sv_2c_buffer_decoal
R12_FSU,coal_ppl,1995,1376.57,sv_2c_buffer_decoal
R12_FSU,coal_ppl,2000,1376.57,sv_2c_buffer_decoal
R12_FSU,coal_ppl,2005,1376.57,sv_2c_buffer_decoal
R12_FSU,coal_ppl,2010,1376.57,sv_2c_buffer_decoal
R12_FSU,coal_ppl,2025,1377.0,sv_2c_buffer_decoal
R12_FSU,coal_ppl,2030,1328.0505594143572,sv_2c_buffer_decoal
R12_FSU,coal_ppl,2035,1288.841160180036,sv_2c_buffer_decoal
R12_FSU,coal_ppl,2040,1256.6824373190186,sv_2c_buffer_decoal
R12_FSU,coal_ppl,2045,1230.1898803099193,sv_2c_buffer_decoal
R12_FSU,coal_ppl,2050,1208.4770651854117,sv_2c_buffer_decoal
R12_FSU,coal_ppl,2055,1190.948412784831,sv_2c_buffer_decoal
