nl,t,yv,ya,CAP,sc
R12_AFR,igcc_ccs,2030,2040,0.0,sv_2c_buffer_decoal
R12_AFR,igcc_ccs,2030,2045,0.0,sv_2c_buffer_decoal
R12_AFR,igcc_ccs,2030,2050,0.0,sv_2c_buffer_decoal
R12_AFR,igcc_ccs,2030,2055,0.0,sv_2c_buffer_decoal
R12_AFR,igcc_ccs,2035,2035,0.0,sv_2c_buffer_decoal
R12_AFR,igcc_ccs,2035,2040,0.0,sv_2c_buffer_decoal
R12_AFR,igcc_ccs,2035,2045,0.0,sv_2c_buffer_decoal
R12_AFR,igcc_ccs,2035,2050,0.0,sv_2c_buffer_decoal
R12_AFR,igcc_ccs,2035,2055,0.0,sv_2c_buffer_decoal
R12_AFR,igcc_ccs,2035,2060,0.0,sv_2c_buffer_decoal
