nl,t,ya,m,ACT,sc
R12_EEU,gas_cc,2000,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_cc,2005,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_cc,2010,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_cc,2015,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_cc,2020,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_cc,2025,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_cc,2030,M1,8.212118366862594,sv_2c_buffer_decoal
R12_EEU,gas_cc,2035,M1,9.821438644599166,sv_2c_buffer_decoal
R12_EEU,gas_cc,2040,M1,12.312744832700643,sv_2c_buffer_decoal
R12_EEU,gas_cc,2045,M1,14.607631453813838,sv_2c_buffer_decoal
R12_EEU,gas_cc,2050,M1,13.51285714026321,sv_2c_buffer_decoal
R12_EEU,gas_cc,2055,M1,10.3830992989953,sv_2c_buffer_decoal
R12_EEU,gas_cc,2060,M1,9.916076502700388,sv_2c_buffer_decoal
R12_EEU,gas_cc,2070,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_cc,2080,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_cc,2090,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_cc,2100,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_cc,2110,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_cc_ccs,2030,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_cc_ccs,2035,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_cc_ccs,2040,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_cc_ccs,2045,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_cc_ccs,2050,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_cc_ccs,2055,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_cc_ccs,2060,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_cc_ccs,2070,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_cc_ccs,2080,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_cc_ccs,2090,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_cc_ccs,2100,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_cc_ccs,2110,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ct,1975,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ct,1980,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ct,1985,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ct,1990,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ct,1995,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ct,2000,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ct,2005,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ct,2010,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ct,2015,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ct,2020,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ct,2025,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ct,2030,M1,4.05260035309943,sv_2c_buffer_decoal
R12_EEU,gas_ct,2035,M1,4.415392045059601,sv_2c_buffer_decoal
R12_EEU,gas_ct,2040,M1,2.046877044234254,sv_2c_buffer_decoal
R12_EEU,gas_ct,2045,M1,3.3233532234451046,sv_2c_buffer_decoal
R12_EEU,gas_ct,2050,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ct,2055,M1,5.017898316545942,sv_2c_buffer_decoal
R12_EEU,gas_ct,2060,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ct,2070,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ct,2080,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ct,2090,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ct,2100,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ct,2110,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ppl,1960,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ppl,1965,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ppl,1970,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ppl,1975,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ppl,1980,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ppl,1985,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ppl,1990,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ppl,1995,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ppl,2000,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ppl,2005,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ppl,2010,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ppl,2015,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ppl,2020,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ppl,2025,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ppl,2030,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ppl,2035,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ppl,2040,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ppl,2045,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ppl,2050,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ppl,2055,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ppl,2060,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ppl,2070,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ppl,2080,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ppl,2090,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ppl,2100,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_ppl,2110,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_cc,1980,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_cc,1985,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_cc,1990,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_cc,1995,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_cc,2000,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_cc,2005,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_cc,2010,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_cc,2015,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_cc,2020,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_cc,2025,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_cc,2030,M1,44.3925095075065,sv_2c_buffer_decoal
R12_FSU,gas_cc,2035,M1,59.4201570225365,sv_2c_buffer_decoal
R12_FSU,gas_cc,2040,M1,78.59966647371823,sv_2c_buffer_decoal
R12_FSU,gas_cc,2045,M1,75.83500000177504,sv_2c_buffer_decoal
R12_FSU,gas_cc,2050,M1,67.78125000177505,sv_2c_buffer_decoal
R12_FSU,gas_cc,2055,M1,58.79237369456669,sv_2c_buffer_decoal
R12_FSU,gas_cc,2060,M1,48.08309196645975,sv_2c_buffer_decoal
R12_FSU,gas_cc,2070,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_cc,2080,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_cc,2090,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_cc,2100,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_cc,2110,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_cc_ccs,2030,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_cc_ccs,2035,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_cc_ccs,2040,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_cc_ccs,2045,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_cc_ccs,2050,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_cc_ccs,2055,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_cc_ccs,2060,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_cc_ccs,2070,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_cc_ccs,2080,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_cc_ccs,2090,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_cc_ccs,2100,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_cc_ccs,2110,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ct,1980,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ct,1985,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ct,1990,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ct,1995,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ct,2000,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ct,2005,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ct,2010,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ct,2015,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ct,2020,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ct,2025,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ct,2030,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ct,2035,M1,0.7552763334533168,sv_2c_buffer_decoal
R12_FSU,gas_ct,2040,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ct,2045,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ct,2050,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ct,2055,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ct,2060,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ct,2070,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ct,2080,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ct,2090,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ct,2100,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ct,2110,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ppl,1960,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ppl,1965,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ppl,1970,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ppl,1975,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ppl,1980,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ppl,1985,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ppl,1990,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ppl,1995,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ppl,2000,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ppl,2005,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ppl,2010,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ppl,2015,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ppl,2020,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ppl,2025,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ppl,2030,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ppl,2035,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ppl,2040,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ppl,2045,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ppl,2050,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ppl,2055,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ppl,2060,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ppl,2070,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ppl,2080,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ppl,2090,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ppl,2100,M1,0.0,sv_2c_buffer_decoal
R12_FSU,gas_ppl,2110,M1,0.0,sv_2c_buffer_decoal
R12_LAM,gas_cc,1960,M1,0.0,sv_2c_buffer_decoal
R12_LAM,gas_cc,1965,M1,0.0,sv_2c_buffer_decoal
R12_LAM,gas_cc,1970,M1,0.0,sv_2c_buffer_decoal
R12_LAM,gas_cc,1975,M1,0.0,sv_2c_buffer_decoal
R12_LAM,gas_cc,1980,M1,0.0,sv_2c_buffer_decoal
R12_LAM,gas_cc,1985,M1,0.0,sv_2c_buffer_decoal
R12_LAM,gas_cc,1990,M1,0.0,sv_2c_buffer_decoal
R12_LAM,gas_cc,1995,M1,0.0,sv_2c_buffer_decoal
R12_LAM,gas_cc,2000,M1,0.0,sv_2c_buffer_decoal
R12_LAM,gas_cc,2005,M1,0.0,sv_2c_buffer_decoal
R12_LAM,gas_cc,2010,M1,0.0,sv_2c_buffer_decoal
R12_LAM,gas_cc,2015,M1,0.0,sv_2c_buffer_decoal
R12_LAM,gas_cc,2020,M1,0.0,sv_2c_buffer_decoal
R12_LAM,gas_cc,2025,M1,0.0,sv_2c_buffer_decoal
R12_LAM,gas_cc,2030,M1,50.932017775,sv_2c_buffer_decoal
R12_LAM,gas_cc,2035,M1,53.89559159189729,sv_2c_buffer_decoal
R12_LAM,gas_cc,2040,M1,41.70338138909541,sv_2c_buffer_decoal
R12_LAM,gas_cc,2045,M1,32.26928154817429,sv_2c_buffer_decoal
R12_LAM,gas_cc,2050,M1,24.969354928797763,sv_2c_buffer_decoal
R12_LAM,gas_cc,2055,M1,19.32081086557538,sv_2c_buffer_decoal
R12_LAM,gas_cc,2060,M1,14.950075144825101,sv_2c_buffer_decoal
R12_LAM,gas_cc,2070,M1,8.951162233596344,sv_2c_buffer_decoal
R12_LAM,gas_cc,2080,M1,5.359391478369647,sv_2c_buffer_decoal
R12_LAM,gas_cc,2090,M1,3.2088656499392925,sv_2c_buffer_decoal
R12_LAM,gas_cc,2100,M1,1.9212663976718234,sv_2c_buffer_decoal
R12_LAM,gas_cc,2110,M1,1.1503331624035735,sv_2c_buffer_decoal
R12_LAM,gas_cc_ccs,2030,M1,0.0,sv_2c_buffer_decoal
R12_LAM,gas_cc_ccs,2035,M1,0.0,sv_2c_buffer_decoal
R12_LAM,gas_cc_ccs,2040,M1,0.0,sv_2c_buffer_decoal
R12_LAM,gas_cc_ccs,2045,M1,0.0,sv_2c_buffer_decoal
R12_LAM,gas_cc_ccs,2050,M1,0.0,sv_2c_buffer_decoal
R12_LAM,gas_cc_ccs,2055,M1,0.0,sv_2c_buffer_decoal
