node_loc,technology,year_vtg,year_act,mode,node_dest,commodity,level,time,time_dest,value,unit
R12_NAM,coal_adv_rccs,2030,2040,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2030,2045,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2030,2050,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2030,2055,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2035,2035,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2035,2040,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2035,2045,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2035,2050,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2035,2055,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2035,2060,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2040,2040,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2040,2045,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2040,2050,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2040,2055,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2040,2060,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2040,2070,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2045,2045,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2045,2050,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2045,2055,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2045,2060,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2045,2070,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2050,2050,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2050,2055,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2050,2060,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2050,2070,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2050,2080,M4,R12_NAM,electr,secondary,year,year,1,GWa
